R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YIL103W	DPH1	0.00144179	0.0315096	-32.8785	18.6045	75.372	4.82197	9.60865	8	8	t-test	E
YJR112W	NNF1	0.0175447	0.144443	-32.8689	34.803	99.0728	7.00788	14.3414	8	8	t-test	E
YKR098C	UBP11	0.00362305	0.0578724	-32.8168	19.439	76.5034	6.57587	9.85113	8	8	t-test	E
YLR418C	CDC73	0.000499543	0.0165669	-32.7951	12.2802	65.991	3.76052	8.54638	8	8	t-test	E
YDR335W	MSN5	0.00172579	0.0357656	-32.7204	23.4933	82.2979	5.24363	9.77282	10	8	t-test	E
YHR126C	ANS1	0.0109432	0.111709	-32.6923	23.3079	81.9852	8.77376	9.80226	8	8	t-test	E
YDR531W	CAB1	0.00705755	0.0865631	-32.6524	21.2375	78.8957	7.00159	11.1507	8	8	t-test	E
YPL008W	CHL1	0.00280915	0.0491992	-32.6041	19.8427	76.783	0.970188	10.6893	8	8	t-test	E
YKL191W	DPH2	0.000194699	0.0094557	-32.6005	14.3103	68.6782	3.40308	7.57745	8	8	t-test	E
YDL150W	RPC53	0.0040676	0.0616296	-32.5496	17.2888	72.9643	5.556	10.9888	8	8	t-test	E
YBL041W	PRE7	0.00964277	0.105609	-32.4738	19.1123	75.5228	4.59297	13.4105	8	8	t-test	E
YNL111C	CYB5	0.0281873	0.189545	-32.4249	24.8817	83.8979	10.612	11.2497	8	8	t-test	E
YFR024C	YFR024C	0.00243811	0.0457907	-32.3596	23.478	81.7471	4.14081	10.552	8	8	t-test	E
YPR052C	NHP6A	0.0104844	0.109347	-32.317	35.1415	98.7603	6.19417	12.8746	8	8	t-test	E
YNL016W	PUB1	0.00236526	0.0447612	-32.311	23.2762	81.3806	3.46912	10.5792	8	8	t-test	E
YGR058W	PEF1	0.0108642	0.111613	-32.2919	34.3151	97.5137	6.43399	12.8024	8	8	t-test	E
YMR055C	BUB2	0.00401359	0.0610675	-32.2718	25.8263	85.0565	4.63294	11.2979	8	8	t-test	E
YHR021C	RPS27B	0.000493979	0.0165669	-32.0832	17.7409	72.9433	3.30126	8.40773	8	8	t-test	E
YIL154C	IMP2'	0.00265575	0.0479576	-32.0201	13.4073	66.5065	7.08586	6.93235	8	8	t-test	E
YPR168W	NUT2	0.05349	0.258451	-31.9909	41.9142	108.198	10.8726	15.4914	8	8	t-test	E
YLR171W	YLR171W	0.0317296	0.19942	-31.9898	30.1082	90.9125	10.216	12.622	8	8	t-test	E
YNL231C	PDR16	0.0106186	0.109774	-31.9333	19.9489	75.9565	8.19211	10.3045	8	8	t-test	E
YKL033W	TTI1	0.0133534	0.126634	-31.9258	8.83589	59.6758	5.81346	13.6235	8	8	t-test	E
YLR113W	HOG1	0.0109691	0.111736	-31.9034	30.8944	91.937	6.82641	12.2909	8	8	t-test	E
YLR401C	DUS3	0.0481261	0.24616	-31.8654	42.6562	109.101	10.5579	15.0068	8	8	t-test	E
